Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
ASV_2	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
ASV_3	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus
ASV_4	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina
ASV_5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_7	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter
ASV_8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
ASV_9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella
ASV_10	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_11	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
ASV_12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
ASV_13	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_14	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
ASV_15	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_16	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_17	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_18	NA	NA	NA	NA	NA	NA
ASV_19	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_20	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Bhargavaea
ASV_21	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_22	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_23	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
ASV_24	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter
ASV_25	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_26	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
ASV_27	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
ASV_28	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
ASV_29	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_30	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_31	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Xylophilus
ASV_32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV_33	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_34	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter
ASV_35	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	NA	NA
ASV_36	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium
ASV_37	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_38	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
ASV_39	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
ASV_40	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
ASV_41	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_42	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_43	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_44	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
